2025-06-20 10:25:35 | INFO | PID:18264 | Queue '57dc902e-4449-4083-9b56-328eb9d16334_Url Rewriter By Para' created successfully
2025-06-20 10:25:49 | INFO | PID:18264 | Queue '57dc902e-4449-4083-9b56-328eb9d16334_Url Rewriter By Para' created successfully
2025-06-20 10:37:38 | INFO | PID:16148 | Queue 'article-response-queue' created successfully
2025-06-20 10:58:18 | INFO | PID:1348 | Starting worker url_rewriter_para_request_worker for queue article-response-queue
2025-06-20 10:58:18 | INFO | PID:1348 | Created new channel
2025-06-20 10:58:18 | INFO | PID:1348 | Declared queue: article-response-queue
2025-06-20 10:58:18 | INFO | PID:1348 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-20 10:58:18 | INFO | PID:1348 | Found worker class: UrlRewriterParallelWorker
2025-06-20 10:58:18 | WARNING | PID:1348 | Detected localhost connection - disabling SSL verification for development
2025-06-20 10:58:18 | WARNING | PID:1348 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 10:58:18 | WARNING | PID:1348 | Detected localhost connection - disabling SSL verification for development
2025-06-20 10:58:18 | WARNING | PID:1348 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 10:58:18 | WARNING | PID:1348 | Detected localhost connection - disabling SSL verification for development
2025-06-20 10:58:18 | WARNING | PID:1348 | ⚠️  SSL verification is disabled - DO NOT use this in production!
2025-06-20 10:58:18 | INFO | PID:1348 | Worker instance created
2025-06-20 10:58:18 | INFO | PID:1348 | Registered worker process 1348 in registry
2025-06-20 10:58:18 | INFO | PID:1348 | Starting consuming on article-response-queue
2025-06-20 10:58:19 | INFO | PID:1348 | Started url_rewriter_para_request_worker on queue: article-response-queue
2025-06-20 10:58:19 | INFO | PID:1348 | Started url_rewriter_para_request_worker with PID: 1348, queue: article-response-queue
2025-06-20 10:58:23 | WARNING | PID:1348 | No open connection/channel: connecting...
2025-06-20 10:58:23 | INFO | PID:1348 | Successfully connected on attempt 1
2025-06-20 10:58:23 | INFO | PID:1348 | Consumer registered on queue: article-response-queue
2025-06-20 10:58:23 | INFO | PID:1348 | Starting consuming on article-response-queue
2025-06-20 10:58:25 | ERROR | PID:1348 | Worker url_rewriter_para_request_worker failed to register with RabbitMQ
2025-06-20 11:04:17 | INFO | PID:16652 | Starting worker url_rewriter_para_request_worker for queue article-request-queue
2025-06-20 11:04:17 | INFO | PID:16652 | Created new channel
2025-06-20 11:04:17 | INFO | PID:16652 | Declared queue: article-request-queue
2025-06-20 11:04:18 | INFO | PID:16652 | Available workers: ['testworker', 'url_rewriter_para_request_worker', 'url_rewriter_para_response_worker']
2025-06-20 11:04:18 | INFO | PID:16652 | Found worker class: UrlRewriterParallelWorker
2025-06-20 11:04:18 | WARNING | PID:16652 | Detected localhost connection - disabling SSL verification for development
2025-06-20 11:04:18 | WARNING | PID:16652 | ⚠️  SSL verification is disabled - DO NOT use this in production!
